training_seed,mask_seed,term,unmasked_accuracy,nonrecent_masked_accuracy,random_masked_accuracy,baseline_accuracy,raw_nonrecent_cost_pp,random_deletion_cost_pp,nonrecent_excess_cost_pp,attnres_relative_gain_pp,absolute_ability_pp
1339,20260721,irregular_forms,88.33,64.95,70.68,87.28,23.379999999999995,17.64999999999999,5.730000000000004,1.0499999999999972,38.33
1339,20260722,irregular_forms,88.33,64.95,72.36,87.28,23.379999999999995,15.969999999999999,7.409999999999997,1.0499999999999972,38.33
1339,20260718,island_effects,49.34,54.65,53.42,51.85,-5.309999999999995,-4.079999999999998,-1.2299999999999969,-2.509999999999998,-0.6599999999999966
1339,20260719,island_effects,49.34,54.65,49.25,51.85,-5.309999999999995,0.09000000000000341,-5.399999999999999,-2.509999999999998,-0.6599999999999966
1339,20260720,island_effects,49.34,54.65,51.02,51.85,-5.309999999999995,-1.6799999999999997,-3.6299999999999955,-2.509999999999998,-0.6599999999999966
1339,20260721,island_effects,49.34,54.65,51.17,51.85,-5.309999999999995,-1.8299999999999983,-3.479999999999997,-2.509999999999998,-0.6599999999999966
1339,20260722,island_effects,49.34,54.65,52.74,51.85,-5.309999999999995,-3.3999999999999986,-1.9099999999999966,-2.509999999999998,-0.6599999999999966
1339,20260718,npi_licensing,55.65,41.45,48.71,51.59,14.199999999999996,6.939999999999998,7.259999999999998,4.059999999999995,5.649999999999999
1339,20260719,npi_licensing,55.65,41.45,52.48,51.59,14.199999999999996,3.1700000000000017,11.029999999999994,4.059999999999995,5.649999999999999
1339,20260720,npi_licensing,55.65,41.45,45.2,51.59,14.199999999999996,10.449999999999996,3.75,4.059999999999995,5.649999999999999
1339,20260721,npi_licensing,55.65,41.45,51.17,51.59,14.199999999999996,4.479999999999997,9.719999999999999,4.059999999999995,5.649999999999999
1339,20260722,npi_licensing,55.65,41.45,50.63,51.59,14.199999999999996,5.019999999999996,9.18,4.059999999999995,5.649999999999999
1339,20260718,quantifiers,79.64,58.91,67.5,83.42,20.730000000000004,12.14,8.590000000000003,-3.780000000000001,29.64
1339,20260719,quantifiers,79.64,58.91,55.2,83.42,20.730000000000004,24.439999999999998,-3.7099999999999937,-3.780000000000001,29.64
1339,20260720,quantifiers,79.64,58.91,51.92,83.42,20.730000000000004,27.72,-6.989999999999995,-3.780000000000001,29.64
1339,20260721,quantifiers,79.64,58.91,57.54,83.42,20.730000000000004,22.1,-1.3699999999999974,-3.780000000000001,29.64
1339,20260722,quantifiers,79.64,58.91,59.33,83.42,20.730000000000004,20.310000000000002,0.4200000000000017,-3.780000000000001,29.64
1339,20260718,s-selection,78.38,68.48,70.3,77.12,9.899999999999991,8.079999999999998,1.8199999999999932,1.259999999999991,28.379999999999995
1339,20260719,s-selection,78.38,68.48,71.23,77.12,9.899999999999991,7.1499999999999915,2.75,1.259999999999991,28.379999999999995
1339,20260720,s-selection,78.38,68.48,69.09,77.12,9.899999999999991,9.289999999999992,0.6099999999999994,1.259999999999991,28.379999999999995
1339,20260721,s-selection,78.38,68.48,70.24,77.12,9.899999999999991,8.14,1.759999999999991,1.259999999999991,28.379999999999995
1339,20260722,s-selection,78.38,68.48,72.5,77.12,9.899999999999991,5.8799999999999955,4.019999999999996,1.259999999999991,28.379999999999995
1339,20260718,subject_verb_agreement,64.97,50.25,51.06,64.64,14.719999999999999,13.909999999999997,0.8100000000000023,0.3299999999999983,14.969999999999999
1339,20260719,subject_verb_agreement,64.97,50.25,51.97,64.64,14.719999999999999,13.0,1.7199999999999989,0.3299999999999983,14.969999999999999
1339,20260720,subject_verb_agreement,64.97,50.25,52.64,64.64,14.719999999999999,12.329999999999998,2.3900000000000006,0.3299999999999983,14.969999999999999
1339,20260721,subject_verb_agreement,64.97,50.25,51.89,64.64,14.719999999999999,13.079999999999998,1.6400000000000006,0.3299999999999983,14.969999999999999
1339,20260722,subject_verb_agreement,64.97,50.25,52.74,64.64,14.719999999999999,12.229999999999997,2.490000000000002,0.3299999999999983,14.969999999999999
